,Date_time,original_value,predicted_value,total_difference,percentage_difference
542,2017-03-10 23:00:00,0.20446134332181343,0.21599283814430237,0.011531494822488941,5.639938892673155
543,2017-03-11 00:00:00,0.18734580921576233,0.20370911061763763,0.016363301401875308,8.734276720879318
544,2017-03-11 01:00:00,0.1622121732284039,0.18246875703334808,0.02025658380494419,12.487708783989827
545,2017-03-11 02:00:00,0.20163446064171306,0.21406453847885132,0.01243007783713826,6.164659452347002
546,2017-03-11 03:00:00,0.16735197410067826,0.18717221915721893,0.019820245056540675,11.843448613648798
547,2017-03-11 04:00:00,0.1775801846544525,0.19596301019191742,0.018382825537464925,10.351845040163388
548,2017-03-11 05:00:00,0.2278988571229867,0.23073023557662964,0.002831378453642952,1.2423837878726112
549,2017-03-11 06:00:00,0.25411184457837055,0.24514542520046234,0.008966419377908208,3.528532639942676
550,2017-03-11 07:00:00,0.32092928290190137,0.2759697437286377,0.044959539173263674,14.00917322555651
551,2017-03-11 08:00:00,0.1907380752780999,0.20626616477966309,0.015528089501563175,8.141053892319565
552,2017-03-11 09:00:00,0.1730571551171142,0.19216595590114594,0.019108800784031738,11.041901602450418
553,2017-03-11 10:00:00,0.1656044453043106,0.18559522926807404,0.019990783963763442,12.071405406436329
554,2017-03-11 11:00:00,0.10793585887080485,0.12172580510377884,0.013789946232973985,12.776056425770447
555,2017-03-11 12:00:00,0.053710938016891495,0.05807466804981232,0.004363730032920822,8.124471837651537
556,2017-03-11 13:00:00,0.031969572306508834,0.035811588168144226,0.003842015861635392,12.017726808479006
557,2017-03-11 14:00:00,0.035464639048092925,0.039308592677116394,0.0038439536290234694,10.83883477232281
558,2017-03-11 15:00:00,0.0359786192124174,0.03982450067996979,0.003845881467552388,10.68935259812597
559,2017-03-11 16:00:00,0.032534950240555235,0.03637617826461792,0.0038412280240626845,11.806466571061614
560,2017-03-11 17:00:00,0.0502158720462778,0.05439060926437378,0.004174737218095977,8.313581041166893
561,2017-03-11 18:00:00,0.12736430947289507,0.14536376297473907,0.01799945350184401,14.1322585395672
562,2017-03-11 19:00:00,0.2712273849035829,0.25368940830230713,0.017537976601275762,6.46615260015512
563,2017-03-11 20:00:00,0.2935341346643771,0.26406219601631165,0.029471938648065465,10.04037867069984
564,2017-03-11 21:00:00,0.2741056738854776,0.2550717890262604,0.0190338848592172,6.943995207910081
565,2017-03-11 22:00:00,0.24444901709844535,0.24004140496253967,0.004407612135905681,1.8030803266149489
566,2017-03-11 23:00:00,0.20785361858439777,0.21825966238975525,0.010406043805357479,5.006428984122865
567,2017-03-12 00:00:00,0.19299958727127564,0.20793528854846954,0.014935701277193902,7.738721874156464
568,2017-03-12 01:00:00,0.22101151547860443,0.2266094982624054,0.00559798278380097,2.532891904604354
569,2017-03-12 02:00:00,0.15306332282892163,0.17359694838523865,0.02053362555631702,13.415118120274567
570,2017-03-12 03:00:00,0.17701480425330085,0.19549594819545746,0.018481143942156608,10.440451023356701
571,2017-03-12 04:00:00,0.24162212562928245,0.23850473761558533,0.0031173880136971255,1.2901914531122418
572,2017-03-12 05:00:00,0.26901727026894484,0.25261810421943665,0.016399166049508196,6.095952885520489
573,2017-03-12 06:00:00,0.3066406319899309,0.26984965801239014,0.036790973977540775,11.998075316629556
574,2017-03-12 07:00:00,0.26495682564471235,0.2506263256072998,0.014330500037412541,5.408617046397095
575,2017-03-12 08:00:00,0.2055921068482122,0.21675404906272888,0.01116194221451669,5.429168651283634
576,2017-03-12 09:00:00,0.14396587431100336,0.16413459181785583,0.02016871750685248,14.00937382096736
577,2017-03-12 10:00:00,0.14447985252220283,0.16468587517738342,0.020206022655180594,13.985356644848077
578,2017-03-12 11:00:00,0.11132812328840558,0.12592172622680664,0.014593602938401062,13.108640033924774
579,2017-03-12 12:00:00,0.06455592376045377,0.06985217332839966,0.005296249567945888,8.204126375138806
580,2017-03-12 13:00:00,0.03993626649827508,0.043815359473228455,0.0038790929749533756,9.71320885772064
581,2017-03-12 14:00:00,0.04512746853254114,0.04911206662654877,0.003984598094007627,8.829651260261492
582,2017-03-12 15:00:00,0.042865954637638426,0.04679468274116516,0.003928728103526735,9.165147811912062
583,2017-03-12 16:00:00,0.03603001698213932,0.03987617790699005,0.003846160924850732,10.674879578206522
584,2017-03-12 17:00:00,0.041118421986418754,0.04501467943191528,0.0038962574454965287,9.475697892257262
585,2017-03-12 18:00:00,0.08280222036494311,0.09091192483901978,0.008109704474076662,9.794066437269304
586,2017-03-12 19:00:00,0.16961348568266976,0.18917971849441528,0.01956623281174552,11.535776611744202
587,2017-03-12 20:00:00,0.30381373640892584,0.26861709356307983,0.035196642845846005,11.584941241258488
588,2017-03-12 21:00:00,0.290655833346956,0.2627641558647156,0.027891677482240418,9.596118254728475
589,2017-03-12 22:00:00,0.26269531812316504,0.24950328469276428,0.013192033430400762,5.021799979021956
590,2017-03-12 23:00:00,0.28721217583685377,0.26119667291641235,0.026015502920441413,9.057938732799093
591,2017-03-13 00:00:00,0.25529399867876745,0.24575495719909668,0.009539041479670773,3.7364926433987993
592,2017-03-13 01:00:00,0.262695323776948,0.24950328469276428,0.013192039084183704,5.021802023162366
593,2017-03-13 02:00:00,0.19192022984107907,0.20714211463928223,0.015221884798203161,7.9313602379529
594,2017-03-13 03:00:00,0.27127878395825544,0.25371426343917847,0.017564520519076976,6.4747121993070476
595,2017-03-13 04:00:00,0.22445518162357514,0.22868967056274414,0.004234488939169001,1.8865632366066265
596,2017-03-13 05:00:00,0.28895970514720176,0.2619940936565399,0.026965611490661845,9.331962557521656
597,2017-03-13 06:00:00,0.2593030421924063,0.24779950082302094,0.011503541369385362,4.436331048075241
